phrase,severity,category
I'm gonna hurt someone idk right now,96,Imminent self-harm - requires attention based on phrasing and urgency
I took too much tbh tonight,75,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore tbh asap,93,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey tonight,82,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it highkey soon,88,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone literally right now,79,Substance crisis - requires attention based on phrasing and urgency
I feel empty fr tonight,82,Substance crisis - requires attention based on phrasing and urgency
I feel empty highkey soon,85,Threat to others - requires attention based on phrasing and urgency
I feel empty seriously soon,54,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore ngl right now,85,Threat to others - requires attention based on phrasing and urgency
I feel empty literally asap,72,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me seriously today,63,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously asap,91,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it literally today,61,Emotional distress - requires attention based on phrasing and urgency
I feel empty fr asap,99,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it literally tonight,91,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,83,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here lowkey right now,73,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh soon,97,Threat to others - requires attention based on phrasing and urgency
they keep hurting me lowkey today,83,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it idk right now,93,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me ngl right now,74,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore ngl right now,93,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything seriously today,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it tbh today,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it seriously today,73,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore tbh asap,88,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone literally right now,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,98,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here idk soon,94,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore lowkey asap,64,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything fr today,85,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here idk today,79,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here highkey tonight,92,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here idk soon,62,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it ngl right now,84,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore lowkey tonight,50,Emotional distress - requires attention based on phrasing and urgency
I wanna end it literally tonight,81,Threat to others - requires attention based on phrasing and urgency
I took too much idk asap,85,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously tonight,79,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,79,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously soon,92,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,84,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey right now,90,Threat to others - requires attention based on phrasing and urgency
I took too much seriously right now,92,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty fr tonight,65,Emotional distress - requires attention based on phrasing and urgency
I feel empty literally asap,98,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it fr right now,84,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything tbh asap,88,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,64,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything tbh today,64,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey asap,56,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it idk today,93,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore ngl today,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much fr soon,89,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything idk today,80,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything tbh soon,99,Threat to others - requires attention based on phrasing and urgency
I took too much highkey right now,92,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here idk right now,76,Domestic risk - requires attention based on phrasing and urgency
I wanna end it literally right now,92,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,96,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything seriously soon,57,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything literally tonight,66,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore seriously today,59,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore highkey tonight,72,Substance crisis - requires attention based on phrasing and urgency
I feel empty ngl right now,89,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore highkey soon,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey right now,64,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,79,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it lowkey today,72,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything ngl soon,99,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it idk soon,82,Substance crisis - requires attention based on phrasing and urgency
I wanna end it fr asap,76,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore tbh tonight,85,Passive ideation - requires attention based on phrasing and urgency
I took too much ngl soon,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here tbh soon,99,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me fr tonight,73,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything fr tonight,75,Domestic risk - requires attention based on phrasing and urgency
I feel empty highkey today,86,Domestic risk - requires attention based on phrasing and urgency
I took too much lowkey tonight,88,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh soon,95,Threat to others - requires attention based on phrasing and urgency
I feel empty fr today,62,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here literally right now,74,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me seriously right now,56,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey right now,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything lowkey soon,69,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here ngl today,92,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty highkey asap,85,Substance crisis - requires attention based on phrasing and urgency
I wanna end it fr soon,98,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey right now,75,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it fr right now,69,Emotional distress - requires attention based on phrasing and urgency
I wanna end it lowkey right now,85,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,54,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,92,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore seriously tonight,91,Domestic risk - requires attention based on phrasing and urgency
I took too much ngl asap,71,Emotional distress - requires attention based on phrasing and urgency
I wanna end it tbh asap,80,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore ngl tonight,97,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything fr tonight,68,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it fr today,74,Emotional distress - requires attention based on phrasing and urgency
I wanna end it ngl today,64,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me seriously today,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it seriously today,79,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore ngl right now,96,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything literally right now,81,Passive ideation - requires attention based on phrasing and urgency
I wanna end it highkey today,99,Threat to others - requires attention based on phrasing and urgency
I wanna end it idk tonight,92,Threat to others - requires attention based on phrasing and urgency
I took too much literally soon,94,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh tonight,51,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh asap,100,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me literally today,83,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it tbh soon,95,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here ngl tonight,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything seriously soon,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone literally soon,93,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,80,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore fr today,75,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl asap,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here ngl asap,99,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty idk asap,75,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore literally asap,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore literally tonight,84,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything tbh tonight,75,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore highkey soon,88,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore literally today,92,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here ngl tonight,70,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me literally tonight,100,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore highkey right now,84,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it seriously soon,85,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore lowkey today,85,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here idk today,67,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything seriously soon,68,Passive ideation - requires attention based on phrasing and urgency
I wanna end it lowkey today,78,Emotional distress - requires attention based on phrasing and urgency
I took too much tbh right now,82,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here highkey asap,80,Emotional distress - requires attention based on phrasing and urgency
I feel empty idk right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here ngl soon,93,Imminent self-harm - requires attention based on phrasing and urgency
I took too much lowkey today,87,Threat to others - requires attention based on phrasing and urgency
I'm done with everything highkey asap,92,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me ngl right now,78,Domestic risk - requires attention based on phrasing and urgency
I feel empty fr right now,87,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore idk asap,71,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,84,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously asap,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey soon,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore ngl tonight,95,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me tbh right now,94,Threat to others - requires attention based on phrasing and urgency
they keep hurting me ngl tonight,62,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,82,Threat to others - requires attention based on phrasing and urgency
I wanna end it tbh soon,82,Domestic risk - requires attention based on phrasing and urgency
I wanna end it highkey right now,91,Threat to others - requires attention based on phrasing and urgency
I wanna end it highkey today,85,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore idk tonight,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore literally asap,72,Emotional distress - requires attention based on phrasing and urgency
I wanna end it fr asap,92,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl today,80,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here tbh right now,93,Imminent self-harm - requires attention based on phrasing and urgency
I took too much idk today,97,Threat to others - requires attention based on phrasing and urgency
they keep hurting me highkey soon,98,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore fr asap,87,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything lowkey today,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore idk soon,51,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it idk right now,78,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here lowkey right now,65,Passive ideation - requires attention based on phrasing and urgency
I wanna end it tbh asap,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything fr tonight,96,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here literally today,92,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it lowkey soon,66,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore fr soon,91,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty seriously asap,75,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore seriously asap,97,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here lowkey tonight,72,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore ngl asap,70,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore tbh right now,84,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything lowkey today,55,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything ngl tonight,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore lowkey tonight,79,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone fr today,95,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone idk asap,83,Passive ideation - requires attention based on phrasing and urgency
I wanna end it seriously today,82,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone fr tonight,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey right now,56,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything tbh asap,92,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty literally right now,78,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything idk right now,65,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here seriously right now,78,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey right now,87,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore idk soon,61,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore fr soon,77,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore ngl tonight,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh today,98,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me fr tonight,75,Emotional distress - requires attention based on phrasing and urgency
I feel empty lowkey tonight,71,Emotional distress - requires attention based on phrasing and urgency
I wanna end it highkey tonight,76,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore fr right now,92,Threat to others - requires attention based on phrasing and urgency
they keep hurting me ngl tonight,64,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it highkey today,97,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it ngl right now,92,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously soon,69,Passive ideation - requires attention based on phrasing and urgency
I feel empty seriously soon,66,Substance crisis - requires attention based on phrasing and urgency
I wanna end it ngl today,62,Substance crisis - requires attention based on phrasing and urgency
I took too much seriously right now,90,Explicit suicidal intent - requires attention based on phrasing and urgency
